"id";"lng";"name";"text"
"149";"ru";"rm_from_list";"Удалить из списка"
"150";"ru";"total_sum";"Сумма всего"
"151";"ru";"remove";"Убрать"
"152";"ru";"to_order";"Оформить заказ"
"153";"ru";"addto_cart";"В корзину"
"154";"ru";"remind_me";"Сообщить мне когда появится"
"155";"ru";"bydef";"по умолчанию"
"156";"ru";"hist_graph";"История"
"157";"ru";"sales_hist";"Продаж"
"158";"ru";"price_hist";"Цен"
"159";"ru";"offer_end_at";"До конца акции:"
"160";"ru";"offer_d";"Дни"
"161";"ru";"offer_h";"Час."
"162";"ru";"offer_m";"Мин."
"163";"ru";"offer_s";"Сек."
"164";"ru";"register";"Зарегистрироваться"
"165";"ru";"login";"Войти"
"166";"ru";"logout";"Выйти"
"167";"ru";"myprofile";"Мой профиль"
"168";"ru";"search";"Поиск"
"169";"ru";"comment1";"Отзыв"
"170";"ru";"comment2_4";"Отзыва"
"171";"ru";"comments";"Отзывы"
"172";"ru";"leave_comment";"Оставить отзыв"
"173";"ru";"to_compare";"К сравнению"
"174";"ru";"compare";"Сравнить"
"175";"ru";"to_wishlist";"В желания"
"176";"ru";"to_rate";"Оценить товар"
"177";"ru";"comment";"Комментарий"
"178";"ru";"to_comment";"Оставить отзыв"
"179";"ru";"to_reply";"Ответить"
"180";"ru";"descr";"Описание"
"181";"ru";"specs";"Характеристики"
"182";"ru";"soon";"Скоро в продаже"
"183";"ru";"RUB";"₽"
"184";"ru";"UAH";"₴"
"185";"ru";"USD";"$"
"186";"ru";"display_size";"Диагональ"
"187";"ru";"display_resolution";"Разрешение"
"188";"ru";"display_type";" Матрица"
"189";"ru";"CPU_name";"ЦПУ"
"190";"ru";"CPU_cores";"Ядер"
"191";"ru";"CPU_freq";"Частота"
"192";"ru";"frontal_camera";"Фронтальная камера"
"193";"ru";"backend_camera";"Основная камера"
"194";"ru";"ram";"ОЗУ"
"195";"ru";"mem";"Память"
"196";"ru";"personal_info";"Контактная информация"
"197";"ru";"confirm";"Подтвердить"
"198";"ru";"edit";"Изменить"
"199";"ru";"fname";"Имя"
"200";"ru";"lname";"Фамилия"
"201";"ru";"tel_number";"Мобильный телефон"
"202";"ru";"address";"Адрес доставки"
"203";"ru";"flt_reset";"Сбросить фильтр"
"204";"ru";"cart_clear";"Убрать все"
"205";"ru";"confirm_order";"Подтвердить заказ"
"206";"ru";"paycard_number";"Номер карты"
"207";"ru";"paycard_info";"Данные платежной карты"
"208";"ru";"payment_type";"Способ оплаты"
"209";"ru";"cash";"Наличными"
"210";"ru";"paycard";"Безналичный"
"211";"ru";"count";"Количество"
"212";"ru";"currency_type";"Денежная еденица"
"213";"ru";"email_me";"Присылать мне уведомления"
"214";"ru";"email_me_offers";"Акции"
"215";"ru";"email_me_wishlist";"Изменения в списке желаний"
"216";"ru";"showed_items";"Показано товаров"
"217";"ru";"share";"Поделится"
"218";"ru";"laptops";"Ноутбуки"
"219";"ru";"smartphones";"Смартфоны"
"220";"ru";"tablets";"Планшеты"
"221";"ru";"order_done";"Спасибо за покупку"
"255";"ua";"cart";"Кошик"
"256";"ua";"lang_name";"Українська"
"257";"ua";"lang_name_ISO";"UA"
"258";"ua";"language";"Мова"
"259";"ua";"buy";"Придбати"
"260";"ua";"price";"Ціна"
